what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749050867621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050871028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050872159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749050878851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050881831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050883289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749050887002
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1749050888618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050890026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050892250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050892609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050896002
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749050898358
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749050898627
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749050902546
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749050926909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749050959127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051011420
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1749051013371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051074374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051077523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051078555
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051080960
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051081221
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051084338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1749051089817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051091948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051094454
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051098755
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051099011
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051102894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051116534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051175214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051178351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051181211
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051183213
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051187107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051202019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051205874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051206947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051210430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051218910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051308413
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051308438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051316835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051322058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051325508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051326930
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051329343
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051329608
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051333505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051367884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051373372
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051373397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051374290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051375776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051378365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051381928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051387149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051388259
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051391149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051391207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051391441
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051391448
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051395436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051405047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051408072
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051408096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051411442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051411916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051414163
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051418018
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051418272
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051422160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051429198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051579415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051588110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051606103
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051606130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051607842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051609224
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051612667
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051612925
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051617062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051632642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051715158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051716998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051803968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051808858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051822870
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051822901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051823763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051826578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051829743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051831320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051833518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051836407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051837339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051844188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051846855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051850036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051855959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051870980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051883359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051889857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051893334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051894222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051896756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051900022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1749051902369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051902771
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051906460
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051906733
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051910600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051917145
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051920465
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051920723
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051924637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051948618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749051951366
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051951391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051956690
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051960299
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749051960559
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749051964469
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749051992973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749051996758
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052000260
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749052000521
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052004817
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749052023755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749052027788
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052031385
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749052031649
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052035525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749052051829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749052061027
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749052061052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749052063172
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052066902
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749052067166
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052071046
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1749052083014
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749052085204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1749052085703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1749052086207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749052087983
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052091811
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749052092079
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052095972
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749052120030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749052138855
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052142482
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749052142744
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052146645
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749052165345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749052167303
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052171362
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749052171620
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052175491
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1749052186030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1749052190388
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052193792
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1749052194044
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1749052197976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749052204129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749052219796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749052219875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749052220931
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1749052221099
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1749052221386
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1749052221387
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1749052221387
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1749052222395
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1749052222395
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1749052222395
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1749052222395
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1749052222395
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1749052222395
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1749052222395
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1749052222395
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1749052222395
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1749052222407
